Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,Ca,Ca 2-Sigma,K,K 2-Sigma,Al,Al 2-Sigma,Ba,Ba 2-Sigma,Cl,Cl 2-Sigma,Mg,Mg 2-Sigma,P,P 2-Sigma,S,S 2-Sigma,Si,Si 2-Sigma,Satellites,Altitude,Latitude,Longitude,Grid,Easting,Northing,
402,Mining,60.78,23.13,0.00,9.47,10.00,"Wed Jul 2, 2025 - 12:23:11",User,1,ppm,,,,,,Mining,<LOD,1.1819,<LOD,0.5797,<LOD,1.5977,770179.5000 , 1202.9911,<LOD,0.8132,<LOD,1.7450,<LOD,6.7696,5.7611 , 2.3212,<LOD,2.5201,419.4312 , 13.1529,<LOD,0.0000,<LOD,1.3267,<LOD,16.6228,<LOD,0.6079,<LOD,0.4688,<LOD,3.5901,<LOD,0.6049,<LOD,0.9403,<LOD,0.3807,<LOD,0.0000,<LOD,3.1882,<LOD,0.4873,<LOD,2.8026,<LOD,0.1858,<LOD,0.0000,<LOD,0.5973,<LOD,12.2695,<LOD,0.8251,<LOD,2.3616,<LOD,3.7066,<LOD,0.3405,<LOD,1.3400,3.2568 , 0.3076,<LOD,7.1727,<LOD,16.9288,<LOD,174.8959,<LOD,23.3959,<LOD,26.9933,2036.8588 , 824.6157,<LOD,55.6933,<LOD,22.7023,227355.1719 , 360.1775,,,,,,,,
403,Mining,64.08,19.53,11.47,8.97,14.45,"Wed Jul 2, 2025 - 12:34:43",User,1,ppm,,,,,,Mining,<LOD,1.3945,<LOD,0.8220,<LOD,1.7317,390459.0625 , 4446.9980,<LOD,0.9009,<LOD,2.2035,<LOD,46.4799,558.1559 , 9.7333,24.2523 , 3.6271,50381.5078 , 174.9730,<LOD,0.0000,<LOD,1.9750,626.4354 , 21.1610,<LOD,0.6216,<LOD,0.4929,1921.6671 , 15.5541,<LOD,0.6475,<LOD,1.2053,<LOD,0.4137,<LOD,0.0000,<LOD,4.0768,<LOD,0.5488,24.8152 , 2.4459,<LOD,0.2061,<LOD,0.0000,<LOD,0.5989,<LOD,30.6628,<LOD,0.8453,<LOD,10.3021,<LOD,10.2455,<LOD,0.3495,34.5809 , 1.6731,6.9142 , 0.3424,2136.0002 , 55.9517,<LOD,43.1657,5130.1133 , 376.4222,168.1600 , 60.0471,1211.8477 , 30.5165,419181.6250 , 3990.9390,<LOD,66.2432,<LOD,25.6428,128134.8438 , 441.8567,,,,,,,,
404,Mining,60.73,14.09,9.65,9.38,9.39,"Wed Jul 2, 2025 - 12:45:11",User,1,ppm,,,,,,Mining,<LOD,1.8214,<LOD,0.8768,<LOD,2.4041,460259.0312 , 4794.1821,<LOD,1.2552,<LOD,2.8037,80.1246 , 31.4727,248.7346 , 8.0123,82.4234 , 3.9445,30546.5898 , 115.3595,<LOD,0.0000,<LOD,2.0997,538.0720 , 25.3289,<LOD,0.8266,<LOD,0.6627,187.1984 , 7.0115,<LOD,0.9502,<LOD,1.5065,<LOD,0.6560,<LOD,0.0000,<LOD,5.2462,<LOD,0.7290,<LOD,7.4953,112.6534 , 0.7903,<LOD,0.0000,<LOD,0.8994,705.1933 , 24.5607,<LOD,2.0574,60.6198 , 7.6575,<LOD,10.3976,4.9559 , 0.3772,28.2783 , 2.0000,13.7664 , 0.6309,85628.9453 , 302.4905,551.8204 , 46.1514,139313.9219 , 1367.8003,214.0983 , 76.4473,<LOD,47.5457,112845.5234 , 3404.6067,<LOD,121.1142,162.3961 , 26.5377,168415.6406 , 476.3642,5,56.900002,40.870773,-124.101753,10.000000,407159.281250,4524996.000000,
405,Mining,64.26,19.51,11.33,9.43,14.65,"Wed Jul 2, 2025 - 12:46:53",User,1,ppm,,,,,,Mining,<LOD,1.7193,<LOD,0.8122,<LOD,2.0240,535782.7500 , 4047.7700,<LOD,1.0687,<LOD,2.5381,<LOD,48.6723,374.4417 , 8.9375,157.2742 , 4.4720,42017.3789 , 124.3428,<LOD,0.0000,<LOD,1.8453,855.5927 , 26.8377,<LOD,0.7594,<LOD,0.6162,201.7290 , 6.5891,<LOD,0.8866,<LOD,1.3940,<LOD,0.5836,<LOD,0.0000,<LOD,4.7832,<LOD,0.6252,21.8820 , 2.8653,86.4811 , 0.6470,<LOD,0.0000,<LOD,0.8763,789.8067 , 25.7070,<LOD,1.5034,71.0819 , 7.9925,<LOD,6.1470,3.9452 , 0.3416,32.9973 , 1.9502,11.4504 , 0.5485,49513.4727 , 240.9462,205.6306 , 39.1202,104944.5469 , 1074.7959,160.5633 , 57.3348,<LOD,41.7768,113179.7188 , 3142.4543,<LOD,95.2262,264.8846 , 25.3723,151324.3438 , 433.2687,5,39.500000,40.871159,-124.101784,10.000000,407157.562500,4525039.000000,
406,Mining,60.01,14.92,9.68,9.88,9.37,"Wed Jul 2, 2025 - 12:50:29",User,1,ppm,,,,,,Mining,<LOD,2.6060,<LOD,1.5095,<LOD,3.4643,585124.5000 , 3863.7227,<LOD,1.6462,<LOD,3.7740,<LOD,94.0147,111.8268 , 11.8529,664.2275 , 10.5575,130304.7656 , 197.3893,<LOD,0.0000,7.4827 , 2.0176,1049.7650 , 34.0040,<LOD,1.1393,<LOD,1.4253,242.3145 , 9.7454,9.2104 , 1.1948,<LOD,2.1983,<LOD,0.8386,<LOD,0.0000,<LOD,7.2588,3.7447 , 0.8811,41.2001 , 4.3702,142.0971 , 1.0846,<LOD,0.0000,<LOD,0.8090,7572.0083 , 80.7810,<LOD,2.0030,411.6482 , 26.3393,<LOD,8.5578,9.8935 , 0.5605,27.1977 , 2.8248,22.9690 , 0.9069,56656.3047 , 335.7295,254.1157 , 59.1053,77088.1250 , 1032.7285,321.3096 , 114.7166,<LOD,52.0896,25552.3262 , 2914.5093,<LOD,126.0114,1697.3156 , 42.2556,112685.6328 , 422.4941,6,21.400000,40.871132,-124.101677,10.000000,407166.093750,4525035.500000,
407,Mining,60.30,9.52,9.39,8.99,13.63,"Wed Jul 2, 2025 - 12:54:31",User,1,ppm,,,,,,Mining,<LOD,1.6181,<LOD,0.7189,<LOD,1.8190,471265.6250 , 4131.8672,<LOD,1.0379,<LOD,2.4845,<LOD,40.5130,283.8289 , 7.3888,49.6569 , 3.0047,29727.6680 , 109.0949,<LOD,0.0000,<LOD,1.6942,518.1432 , 22.0561,<LOD,0.7139,<LOD,0.5662,138.4836 , 5.5398,<LOD,0.7788,<LOD,1.3405,<LOD,0.5639,<LOD,0.0000,<LOD,4.5290,<LOD,0.5996,<LOD,6.3528,138.0686 , 0.7826,<LOD,0.0000,<LOD,0.7658,520.5848 , 21.1881,<LOD,1.2967,44.5995 , 6.2958,<LOD,5.2460,3.0790 , 0.3099,24.1312 , 1.6469,10.3946 , 0.5576,61782.1133 , 253.1929,243.8738 , 35.8412,151432.9219 , 1268.3260,157.8817 , 56.3774,<LOD,42.4754,105323.1875 , 2978.0273,<LOD,80.4971,49.2781 , 22.7107,178286.4531 , 477.9576,6,14.500000,40.871162,-124.101608,10.000000,407172.343750,4525039.000000,
408,Mining,64.17,19.03,11.62,9.69,13.67,"Wed Jul 2, 2025 - 13:01:36",User,1,ppm,,,,,,Mining,<LOD,3.0778,1.8404 , 0.6287,<LOD,2.3283,584359.8750 , 3868.4214,<LOD,1.2581,<LOD,3.0183,<LOD,65.0980,50.6859 , 8.3841,54.9969 , 3.5014,79259.0312 , 139.3509,<LOD,0.0000,<LOD,2.0697,625.3844 , 24.0166,<LOD,0.9606,<LOD,0.6997,59.7971 , 6.0276,<LOD,0.9617,<LOD,1.6116,<LOD,0.6315,<LOD,0.0000,<LOD,5.5536,<LOD,0.7439,26.8295 , 3.3181,65.8911 , 0.6031,<LOD,0.0000,<LOD,0.8417,3191.9131 , 50.5484,<LOD,2.4114,230.3953 , 16.3937,<LOD,6.2512,14.5999 , 0.4758,69.9963 , 2.5887,110.3439 , 1.0550,26806.7461 , 220.0647,243.3345 , 51.5007,75276.2734 , 978.8212,122.6069 , 43.7828,<LOD,51.0172,62920.9297 , 3066.4875,<LOD,106.3876,3688.6274 , 54.3679,162819.9219 , 457.5208,7,11.500000,40.871204,-124.101593,10.000000,407173.500000,4525043.500000,
409,Mining,60.92,9.57,9.17,0.00,9.63,"Wed Jul 2, 2025 - 13:05:35",User,1,ppm,,,,,,Mining,<LOD,1.9249,1.3331 , 0.5859,<LOD,3.0202,384753.1250 , 5136.8594,<LOD,1.1861,<LOD,2.8149,<LOD,56.4566,195.5968 , 8.2723,66.5174 , 3.6691,53475.6055 , 165.5803,<LOD,0.0000,<LOD,2.1757,994.3930 , 28.7777,<LOD,0.8110,<LOD,0.6482,246.0304 , 7.6008,<LOD,0.8987,<LOD,1.4994,<LOD,0.8844,<LOD,0.0000,<LOD,5.2892,<LOD,0.7235,20.6767 , 3.1695,121.3772 , 0.8111,<LOD,0.0000,<LOD,0.8457,1386.5927 , 31.3091,<LOD,1.3684,118.3489 , 10.4158,<LOD,6.6497,8.6540 , 0.4036,49.0396 , 2.2442,18.0415 , 0.6510,67125.2656 , 295.3973,285.9132 , 43.5589,132191.1094 , 1312.8123,172.3429 , 61.5404,<LOD,45.8314,177243.7812 , 3857.1421,<LOD,142.4014,140.6872 , 24.9141,181385.5938 , 490.7813,5,11.600000,40.871132,-124.101677,10.000000,407166.093750,4525035.500000,
410,Mining,60.27,17.42,9.65,9.11,14.96,"Wed Jul 2, 2025 - 13:12:22",User,1,ppm,,,,,,Mining,<LOD,2.2232,2.0550 , 0.6344,<LOD,2.5275,513146.1250 , 4211.1055,<LOD,1.2816,<LOD,2.8251,<LOD,64.6250,67.2667 , 7.3040,<LOD,6.5716,62363.0039 , 153.4290,<LOD,0.0000,<LOD,2.6740,919.9049 , 29.7294,<LOD,0.9147,<LOD,0.7272,45.4338 , 6.1100,<LOD,0.9392,<LOD,1.5541,<LOD,0.9434,<LOD,0.0000,<LOD,5.2511,<LOD,0.7528,24.5134 , 3.0876,113.9846 , 0.8351,<LOD,0.0000,<LOD,0.8924,3914.7852 , 46.2281,<LOD,1.4825,179.1712 , 14.4899,<LOD,6.6768,12.1853 , 0.4776,77.6182 , 2.8420,32.1813 , 0.7880,27678.9043 , 202.7960,1004.8453 , 59.1531,111569.1016 , 1154.9966,209.5891 , 74.8376,699.6698 , 39.2046,81334.2344 , 3036.1951,294.7712 , 81.2145,419.0504 , 29.7239,195891.6094 , 482.6808,6,13.900000,40.871143,-124.101669,10.000000,407166.812500,4525037.000000,
411,Mining,64.08,24.08,18.70,9.01,0.00,"Wed Jul 2, 2025 - 13:50:15",User,1,ppm,,,,,,Mining,<LOD,1.8500,<LOD,1.0552,<LOD,2.2501,525707.9375 , 4072.0249,<LOD,1.1243,<LOD,2.7626,<LOD,46.4486,152.4702 , 6.8406,137.2582 , 4.2318,36049.3750 , 109.1393,<LOD,0.0000,<LOD,1.9307,833.6383 , 26.6494,<LOD,0.7658,<LOD,0.6185,101.4478 , 5.6114,<LOD,0.8049,<LOD,1.4988,<LOD,0.7210,<LOD,0.0000,<LOD,5.1991,<LOD,0.6525,10.6705 , 3.0460,104.2626 , 0.7053,<LOD,0.0000,<LOD,0.8246,1035.3646 , 25.0478,<LOD,1.3786,74.3939 , 8.1256,<LOD,5.6543,5.2572 , 0.3567,24.7256 , 1.8231,13.6651 , 0.5820,65269.6797 , 262.5811,191.4774 , 38.6555,115788.5000 , 1136.1996,167.2594 , 59.7255,<LOD,42.3197,96255.3750 , 2989.9978,<LOD,86.2686,<LOD,32.4054,158077.2344 , 426.4812,5,13.700000,40.871105,-124.101631,10.000000,407170.156250,4525032.500000,
412,Mining,61.07,9.04,8.97,0.00,8.89,"Wed Jul 2, 2025 - 13:53:21",User,1,ppm,,,,,,Mining,<LOD,1.7448,<LOD,0.6729,<LOD,1.8106,653321.7500 , 3597.5105,<LOD,0.9784,<LOD,2.5054,<LOD,38.0258,165.2271 , 6.5409,572.1891 , 6.9847,26641.8887 , 85.3768,<LOD,0.0000,<LOD,1.6360,710.0298 , 23.6146,<LOD,0.7076,<LOD,0.5547,217.0808 , 6.2562,<LOD,0.7482,<LOD,1.2988,6.2966 , 0.4570,<LOD,0.0000,<LOD,4.6368,<LOD,0.5581,<LOD,4.0458,138.7301 , 0.7467,<LOD,0.0000,<LOD,0.7129,673.1822 , 20.6405,<LOD,1.2727,41.0924 , 6.3908,<LOD,5.7625,2.3809 , 0.3174,18.1996 , 1.7614,8.8272 , 0.5428,29565.6445 , 181.5237,1681.6191 , 61.8588,85672.0938 , 955.8511,76.7324 , 27.4023,<LOD,45.9071,86545.0078 , 2831.2188,<LOD,90.9202,<LOD,35.2618,113942.0391 , 384.7326,7,13.200000,40.871101,-124.101631,10.000000,407170.000000,4525032.500000,
413,Mining,63.84,23.73,17.65,9.02,0.00,"Wed Jul 2, 2025 - 13:57:06",User,1,ppm,,,,,,Mining,<LOD,2.3896,<LOD,1.3793,<LOD,2.7936,614628.1250 , 3836.2676,<LOD,1.4623,<LOD,3.5661,<LOD,76.0305,83.5957 , 9.3430,230.5329 , 6.1113,87162.3828 , 146.2312,<LOD,0.0000,<LOD,2.7310,1066.8394 , 32.1591,<LOD,0.9664,<LOD,0.7708,91.8849 , 7.3444,<LOD,1.0678,<LOD,1.8570,<LOD,0.6724,<LOD,0.0000,<LOD,6.4946,<LOD,0.8708,14.4178 , 3.8355,48.5647 , 0.5919,<LOD,0.0000,<LOD,0.9363,7494.8115 , 71.1632,<LOD,1.5176,242.6376 , 21.8188,<LOD,7.4330,5.6714 , 0.4420,55.7043 , 2.7867,19.1930 , 0.6777,56451.4453 , 306.0958,292.7095 , 56.6470,61348.7812 , 896.6063,180.7571 , 64.5444,<LOD,54.3597,48109.2500 , 3065.7808,<LOD,105.1566,90.1133 , 28.6484,122382.6094 , 419.0014,7,12.900000,40.871105,-124.101608,10.000000,407171.687500,4525032.500000,
414,Mining,61.09,14.96,9.92,9.73,9.15,"Wed Jul 2, 2025 - 14:04:25",User,1,ppm,,,,,,Mining,<LOD,2.3879,<LOD,1.2763,<LOD,2.4988,550352.1250 , 3481.6638,<LOD,1.1480,<LOD,2.7427,<LOD,50.7216,311.6442 , 8.8501,240.6610 , 5.3673,44590.3125 , 122.4052,<LOD,0.0000,<LOD,3.0968,1531.2283 , 33.7562,<LOD,0.8055,<LOD,0.6379,189.5161 , 6.5388,<LOD,0.9247,<LOD,1.4943,0.9604 , 0.4112,<LOD,0.0000,<LOD,5.0612,<LOD,0.7322,14.3892 , 2.9741,95.0136 , 0.6933,<LOD,0.0000,<LOD,0.8290,2225.3921 , 35.7691,<LOD,1.3275,119.4018 , 11.1081,<LOD,6.3008,6.9076 , 0.3846,28.9814 , 1.9874,13.4363 , 0.5870,35290.6523 , 213.9032,580.7945 , 47.3653,167100.5000 , 1219.3403,188.8761 , 67.4430,<LOD,39.1703,42934.1953 , 2168.8855,284.9110 , 66.4585,<LOD,32.4714,153900.0938 , 411.9142,5,5.000000,40.871128,-124.101601,10.000000,407172.437500,4525035.000000,
415,Mining,60.79,23.35,9.11,0.00,9.77,"Wed Jul 2, 2025 - 14:10:52",User,1,ppm,,,,,,Mining,<LOD,1.6075,<LOD,1.0917,<LOD,2.1300,483730.3125 , 4503.9575,<LOD,1.1097,<LOD,2.5534,<LOD,39.9987,124.1703 , 5.9267,110.8003 , 3.9939,24803.3164 , 98.5326,<LOD,0.0000,<LOD,1.8164,817.8604 , 27.1259,<LOD,0.7648,<LOD,0.6194,101.3257 , 5.4032,<LOD,0.8501,<LOD,1.4007,16.8504 , 0.6410,<LOD,0.0000,<LOD,4.7254,<LOD,0.6739,18.3096 , 2.7952,178.4831 , 0.9444,<LOD,0.0000,<LOD,0.8416,956.5216 , 23.9971,<LOD,1.6135,57.0874 , 7.0699,<LOD,6.0744,2.4313 , 0.3654,19.8834 , 1.7483,10.5926 , 0.6394,43054.5586 , 205.2648,2047.7300 , 60.4677,131773.3906 , 1226.7714,218.3167 , 77.9532,<LOD,42.9202,121203.8516 , 3150.2231,<LOD,110.0776,<LOD,57.0468,190754.2344 , 486.5348,8,5.300000,40.871147,-124.101616,10.000000,407171.593750,4525037.500000,
416,Mining,60.17,18.50,9.73,9.55,13.82,"Wed Jul 2, 2025 - 14:16:59",User,1,ppm,,,,,,Mining,<LOD,1.2960,<LOD,0.8231,<LOD,1.8000,492015.2812 , 4222.4702,<LOD,0.9095,<LOD,1.9838,<LOD,65.5756,456.8407 , 7.8583,<LOD,4.8564,32869.6719 , 119.9701,<LOD,0.0000,<LOD,2.2052,525.5141 , 22.5737,<LOD,0.6759,<LOD,0.5312,1486.1803 , 14.3340,<LOD,0.6907,<LOD,1.0362,<LOD,0.4384,<LOD,0.0000,<LOD,3.6705,<LOD,0.5813,<LOD,5.1244,1.1420 , 0.1648,<LOD,0.0000,<LOD,1.0424,83.2552 , 13.9006,<LOD,0.8869,<LOD,6.7708,<LOD,9.6758,<LOD,0.3841,19.8391 , 1.5424,5.7709 , 0.3656,4878.3950 , 73.1137,<LOD,36.9185,2912.1052 , 301.5846,95.9747 , 34.2734,861.9051 , 28.6346,347006.7188 , 3746.7402,<LOD,64.7712,<LOD,25.3952,116781.4219 , 393.0768,7,5.400000,40.871159,-124.101624,10.000000,407170.781250,4525038.500000,
417,Mining,59.83,23.26,0.00,9.62,9.55,"Wed Jul 2, 2025 - 14:22:19",User,1,ppm,,,,,,Mining,<LOD,1.7493,<LOD,0.8643,<LOD,2.4915,587502.5625 , 3932.5383,<LOD,1.1916,<LOD,2.6488,<LOD,43.4476,106.7321 , 5.6076,21.3610 , 3.0981,24630.3281 , 93.9658,<LOD,0.0000,<LOD,2.0379,466.1376 , 24.7204,<LOD,0.8352,<LOD,0.6720,93.9398 , 5.8905,<LOD,0.9503,<LOD,1.3542,<LOD,0.6614,<LOD,0.0000,<LOD,4.9979,<LOD,0.7446,<LOD,6.1534,110.2397 , 0.7847,<LOD,0.0000,<LOD,1.0893,567.4214 , 18.8460,<LOD,2.0692,52.0428 , 6.0529,<LOD,6.2657,2.0085 , 0.3575,16.1179 , 1.7948,11.6788 , 0.6322,76694.7266 , 238.0262,151.1633 , 35.0796,111265.6094 , 1193.4009,149.0984 , 53.2415,<LOD,53.5597,51332.3438 , 2733.6953,<LOD,101.6189,<LOD,39.9444,146826.4844 , 440.1106,5,6.700000,40.871143,-124.101624,10.000000,407170.750000,4525037.000000,
418,Mining,60.19,24.04,9.05,0.00,9.20,"Wed Jul 2, 2025 - 14:24:18",User,1,ppm,,,,,,Mining,<LOD,1.6426,<LOD,1.1367,<LOD,2.8259,592387.5625 , 3358.3457,<LOD,1.4043,<LOD,2.5219,213.2046 , 24.6725,72.2256 , 5.2629,<LOD,3.9575,14430.1152 , 77.4068,<LOD,0.0000,<LOD,2.0105,265.4033 , 22.3719,3.3461 , 0.7543,<LOD,0.8987,<LOD,7.9778,<LOD,1.3464,<LOD,1.3289,<LOD,1.7505,<LOD,0.0000,<LOD,4.6213,<LOD,0.8015,11.4999 , 2.7274,2732.8440 , 4.3053,<LOD,0.0000,<LOD,1.2770,567.9681 , 19.9027,15.4716 , 3.0229,29.8880 , 5.6838,<LOD,0.0000,21.1281 , 0.6216,21.5386 , 1.9588,14.2587 , 2.0688,40409.6328 , 189.2410,2829.6470 , 68.2360,90225.9062 , 1002.3167,189.5359 , 67.6786,<LOD,53.3548,23819.0098 , 2185.0881,213.8729 , 81.8071,<LOD,58.6749,231525.9219 , 523.6588,8,7.100000,40.871132,-124.101631,10.000000,407170.187500,4525035.500000,
419,Mining,60.52,19.02,9.35,9.67,13.97,"Wed Jul 2, 2025 - 14:34:42",User,1,ppm,,,,,,Mining,<LOD,1.3435,<LOD,0.9032,<LOD,1.5886,494209.4688 , 4247.6885,<LOD,0.9154,<LOD,2.0543,168.7662 , 26.9173,3382.5103 , 20.8763,<LOD,5.6871,31493.1543 , 110.8726,<LOD,0.0000,<LOD,1.8985,789.3851 , 28.0467,<LOD,0.6428,<LOD,0.5065,1614.2153 , 14.1389,<LOD,0.6428,<LOD,1.0561,<LOD,0.4117,<LOD,0.0000,<LOD,3.7690,<LOD,0.5161,7.7541 , 2.1837,<LOD,0.2120,<LOD,0.0000,<LOD,0.6405,110.5990 , 16.1791,<LOD,0.9101,29.8912 , 4.8274,<LOD,9.8680,<LOD,0.3713,26.8934 , 1.5952,6.5488 , 0.3506,151.1543 , 20.0057,<LOD,40.6824,11680.2617 , 425.3080,114.7779 , 40.9874,119.2226 , 25.4704,327322.2500 , 3824.6746,237.5634 , 55.3369,<LOD,26.7964,128535.5859 , 411.8315,9,5.700000,40.871143,-124.101654,10.000000,407168.218750,4525037.000000,
420,Mining,61.12,18.79,9.33,9.45,15.00,"Wed Jul 2, 2025 - 14:36:40",User,1,ppm,,,,,,Mining,<LOD,1.4296,<LOD,1.0209,<LOD,1.8698,394109.8750 , 4838.9351,<LOD,0.9891,<LOD,2.1881,<LOD,77.7653,686.4035 , 11.4127,<LOD,6.9275,46393.6602 , 165.5850,<LOD,0.0000,<LOD,2.1417,1356.9971 , 30.6013,<LOD,0.7064,<LOD,0.5556,1499.3173 , 14.9952,<LOD,0.7368,<LOD,1.2195,1.5571 , 0.3439,<LOD,0.0000,<LOD,4.1282,<LOD,0.6227,15.0887 , 2.4402,1.6144 , 0.1756,<LOD,0.0000,<LOD,0.6829,194.6592 , 22.4766,<LOD,1.0029,26.5722 , 6.2005,<LOD,10.2024,<LOD,0.6086,20.3926 , 1.6149,7.5712 , 0.3909,3444.8716 , 74.5699,118.8227 , 34.4702,27648.8242 , 629.7886,204.8060 , 73.1300,<LOD,34.2082,354262.3750 , 4062.2363,<LOD,82.1632,<LOD,27.6654,170006.5625 , 521.3376,8,5.600000,40.871143,-124.101646,10.000000,407168.781250,4525037.000000,
421,Mining,60.76,23.56,9.35,9.16,0.00,"Wed Jul 2, 2025 - 14:45:30",User,1,ppm,,,,,,Mining,<LOD,1.5708,<LOD,0.9671,<LOD,2.0843,517901.8438 , 4838.5205,<LOD,1.0686,<LOD,2.4004,<LOD,64.1480,439.2426 , 8.4346,<LOD,5.5346,41308.1992 , 124.0142,<LOD,0.0000,<LOD,2.2577,896.2679 , 27.8475,<LOD,0.7523,<LOD,0.5909,1588.9033 , 15.7953,<LOD,0.7774,<LOD,1.3157,<LOD,0.4902,<LOD,0.0000,<LOD,4.6711,<LOD,0.6652,11.0023 , 2.7134,<LOD,0.2505,<LOD,0.0000,<LOD,0.7347,<LOD,37.7095,<LOD,1.0453,<LOD,7.6600,<LOD,11.1740,<LOD,0.4162,19.8503 , 1.7261,7.8188 , 0.4214,132.5765 , 19.6905,<LOD,41.3052,1426.6085 , 302.7879,120.1467 , 42.9044,325.4096 , 29.8633,322117.6562 , 4318.9443,<LOD,73.6929,<LOD,28.5400,113704.4609 , 385.5364,8,6.200000,40.871140,-124.101646,10.000000,407169.062500,4525036.500000,
422,Mining,61.29,24.18,17.97,8.74,0.00,"Wed Jul 2, 2025 - 14:47:16",User,1,ppm,,,,,,Mining,<LOD,1.7029,<LOD,0.7247,<LOD,1.9616,689706.1250 , 3114.4932,<LOD,1.0327,<LOD,2.5480,<LOD,53.0691,452.9040 , 9.7320,<LOD,5.8538,52763.0391 , 124.2194,<LOD,0.0000,<LOD,2.2523,1157.4451 , 28.7550,<LOD,0.7582,<LOD,0.5906,2126.7041 , 17.2439,<LOD,0.8010,<LOD,1.2909,<LOD,0.4622,<LOD,0.0000,<LOD,4.8048,<LOD,0.6182,<LOD,6.9145,0.7165 , 0.1770,<LOD,0.0000,<LOD,0.7137,141.2789 , 20.4535,<LOD,0.9876,<LOD,13.0627,<LOD,11.8251,<LOD,0.4154,27.5879 , 1.7968,8.5960 , 0.4230,1836.2925 , 55.9128,<LOD,95.4273,17188.2051 , 408.0899,92.2360 , 32.9384,146.9829 , 28.5376,114024.4453 , 2915.9058,<LOD,78.8404,74.6595 , 21.5989,120252.8203 , 367.0980,7,6.300000,40.871140,-124.101646,10.000000,407168.937500,4525036.500000,
423,Mining,10.23,0.00,,,,"Wed Jul 2, 2025 - 14:50:51",User,1,ppm,,,,,,Mining,<LOD,7.7975,<LOD,1.2496,<LOD,3.5872,946837.9375 , 403.4992,<LOD,1.6887,<LOD,8.6192,<LOD,95.8733,687.5814 , 52.0396,<LOD,9.3753,49716.5977 , 166.4331,<LOD,0.0000,<LOD,3.6237,651.9063 , 39.1572,<LOD,1.3064,<LOD,1.0079,2083.3867 , 27.5136,<LOD,1.3145,<LOD,7.9937,<LOD,0.7790,<LOD,0.0000,<LOD,13.9607,<LOD,1.1099,<LOD,9.2606,<LOD,0.4433,<LOD,0.0000,<LOD,1.2184,<LOD,187.1626,<LOD,1.7433,<LOD,91.7767,<LOD,19.3864,<LOD,0.7139,15.3183 , 2.6447,7.2677 , 0.6907,,,,,,,,,,,,,,,,,,,8,6.400000,40.871140,-124.101646,10.000000,407168.937500,4525036.500000,
424,Mining,60.28,24.20,9.01,0.00,9.61,"Wed Jul 2, 2025 - 14:52:14",User,1,ppm,,,,,,Mining,<LOD,1.2569,<LOD,1.1040,<LOD,1.8902,344232.2500 , 4562.8145,<LOD,0.9012,<LOD,1.9755,<LOD,47.7758,355.4904 , 7.6365,<LOD,5.4862,39301.1484 , 159.4134,<LOD,0.0000,<LOD,2.1446,458.7813 , 20.6366,<LOD,0.6556,<LOD,0.5140,2053.1819 , 17.3481,<LOD,0.6807,<LOD,1.1429,<LOD,0.4167,<LOD,0.0000,<LOD,3.7016,<LOD,0.6039,10.2724 , 2.1741,0.7046 , 0.1518,<LOD,0.0000,<LOD,0.6826,<LOD,24.8143,<LOD,0.9000,10.1448 , 4.2218,<LOD,12.4815,<LOD,0.3712,16.0977 , 1.4672,6.1069 , 0.3543,38.3340 , 15.7428,<LOD,34.4589,3968.7678 , 344.1177,132.7375 , 47.4000,358.8096 , 22.2969,468639.0938 , 3499.0037,<LOD,55.9937,<LOD,20.0403,140418.0469 , 479.7068,5,6.200000,40.871143,-124.101646,10.000000,407168.781250,4525037.000000,
